tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
327,9/1/2019 0:00,9/1/2019 0:05,3733,Avenue C & E 18 St,40.730563,-73.973984,504,1 Ave & E 16 St,40.73221853,-73.98165557,39213,Subscriber,1968,male
1145,9/1/2019 0:00,9/1/2019 0:19,3329,Degraw St & Smith St,40.6829151,-73.99318208,270,Adelphi St & Myrtle Ave,40.69308257,-73.97178913,21257,Customer,1969,unknown
1293,9/1/2019 0:00,9/1/2019 0:21,3168,Central Park West & W 85 St,40.78472675,-73.96961715,423,W 54 St & 9 Ave,40.76584941,-73.98690506,15242,Customer,1969,unknown
1753,9/1/2019 0:00,9/1/2019 0:29,3299,E 98 St & Park Ave,40.78813,-73.95206,3160,Central Park West & W 76 St,40.77896784,-73.97374737,38760,Subscriber,1990,male
613,9/1/2019 0:00,9/1/2019 0:10,486,Broadway & W 29 St,40.7462009,-73.98855723,478,11 Ave & W 41 St,40.76030096,-73.99884222,32094,Subscriber,1992,male
482,9/1/2019 0:00,9/1/2019 0:08,3775,Suydam St & Knickerbocker Ave,40.702013,-73.923769,3771,McKibbin St & Bogart St,40.706237,-73.933871,28271,Customer,1969,unknown
489,9/1/2019 0:00,9/1/2019 0:08,3775,Suydam St & Knickerbocker Ave,40.702013,-73.923769,3771,McKibbin St & Bogart St,40.706237,-73.933871,39424,Customer,1969,unknown
1571,9/1/2019 0:00,9/1/2019 0:26,387,Centre St & Chambers St,40.71273266,-74.0046073,3440,Fulton St & Adams St,40.69241829,-73.98949474,38711,Customer,1969,unknown
571,9/1/2019 0:00,9/1/2019 0:09,440,E 45 St & 3 Ave,40.75255434,-73.97282625,505,6 Ave & W 33 St,40.74901271,-73.98848395,31619,Subscriber,1995,male
232,9/1/2019 0:00,9/1/2019 0:04,3071,Boerum St & Broadway,40.70538077,-73.94976519,3082,Hope St & Union Ave,40.71167351,-73.95141312,16158,Customer,1969,unknown
2000,9/1/2019 0:00,9/1/2019 0:33,3295,Central Park W & W 96 St,40.79127,-73.964839,492,W 33 St & 7 Ave,40.75019995,-73.99093085,28542,Customer,1996,male
831,9/1/2019 0:00,9/1/2019 0:14,435,W 21 St & 6 Ave,40.74173969,-73.99415556,173,Broadway & W 49 St,40.76068327,-73.98452729,30286,Subscriber,1986,male
168,9/1/2019 0:00,9/1/2019 0:03,3526,31 St & 23 Ave,40.7747878,-73.9125551,3517,31 St & Hoyt Ave N,40.7711528,-73.9170074,39273,Subscriber,1985,male
176,9/1/2019 0:00,9/1/2019 0:03,3095,Graham Ave & Herbert St,40.71929301,-73.94500379,3668,Leonard St & Nassau Ave,40.72395678,-73.94984365,26619,Subscriber,1991,male
1556,9/1/2019 0:00,9/1/2019 0:26,387,Centre St & Chambers St,40.71273266,-74.0046073,3440,Fulton St & Adams St,40.69241829,-73.98949474,39111,Customer,1969,unknown
198,9/1/2019 0:00,9/1/2019 0:03,3526,31 St & 23 Ave,40.7747878,-73.9125551,3515,24 Ave & 26 St,40.774591,-73.918544,15843,Subscriber,1980,male
383,9/1/2019 0:00,9/1/2019 0:07,3402,Court St & State St,40.6902375,-73.99203074,3407,Union St & Nevins St,40.679098,-73.98765475,28831,Subscriber,1969,unknown
534,9/1/2019 0:00,9/1/2019 0:09,471,Grand St & Havemeyer St,40.71286844,-73.95698119,3668,Leonard St & Nassau Ave,40.72395678,-73.94984365,31015,Subscriber,1992,female
