tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
219,2/1/19 12:00 AM,2/1/19 12:03 AM,3494,E 115 St & Lexington Ave,40.797911,-73.9423,3501,E 118 St & Madison Ave,40.8014866,-73.9442507,33450,Subscriber,1989,male
143,2/1/19 12:00 AM,2/1/19 12:02 AM,438,St Marks Pl & 1 Ave,40.72779126,-73.98564945,236,St Marks Pl & 2 Ave,40.7284186,-73.98713956,25626,Subscriber,1990,male
296,2/1/19 12:01 AM,2/1/19 12:06 AM,3571,Bedford Ave & Bergen St,40.676368,-73.952918,3549,Grand Ave & Bergen St,40.678045,-73.962408,35568,Subscriber,1987,male
478,2/1/19 12:01 AM,2/1/19 12:09 AM,167,E 39 St & 3 Ave,40.7489006,-73.97604882,477,W 41 St & 8 Ave,40.75640548,-73.9900262,25045,Subscriber,1964,female
225,2/1/19 12:01 AM,2/1/19 12:05 AM,3458,W 55 St & 6 Ave,40.76309387,-73.97835016,3443,W 52 St & 6 Ave,40.76132983,-73.97982001,34006,Subscriber,1979,male
457,2/1/19 12:02 AM,2/1/19 12:09 AM,3078,Broadway & Roebling St,40.70924826,-73.96063149,3016,Kent Ave & N 7 St,40.72036775,-73.96165073,33858,Subscriber,1981,female
175,2/1/19 12:02 AM,2/1/19 12:05 AM,411,E 6 St & Avenue D,40.72228087,-73.97668709,317,E 6 St & Avenue B,40.72453734,-73.98185424,24839,Subscriber,1995,male
248,2/1/19 12:02 AM,2/1/19 12:06 AM,3628,Lenox Ave & W 117 St,40.8025566,-73.9490782,3506,Lexington Ave & E 120 St,40.8013066,-73.9398167,31798,Subscriber,1991,male
541,2/1/19 12:02 AM,2/1/19 12:11 AM,293,Lafayette St & E 8 St,40.73020661,-73.99102628,383,Greenwich Ave & Charles St,40.735238,-74.000271,32175,Subscriber,1981,unknown
406,2/1/19 12:03 AM,2/1/19 12:09 AM,380,W 4 St & 7 Ave S,40.73401143,-74.00293877,3263,Cooper Square & Astor Pl,40.72951496,-73.9907527,27688,Subscriber,1973,female
659,2/1/19 12:03 AM,2/1/19 12:14 AM,236,St Marks Pl & 2 Ave,40.7284186,-73.98713956,3660,W 16 St & 8 Ave,40.74102151,-74.00138497,31796,Subscriber,1990,male
1224,2/1/19 12:03 AM,2/1/19 12:23 AM,3167,Amsterdam Ave & W 73 St,40.77966809,-73.98093045,3168,Central Park West & W 85 St,40.78472675,-73.96961715,32737,Subscriber,1965,female
419,2/1/19 12:03 AM,2/1/19 12:10 AM,484,W 44 St & 5 Ave,40.75500254,-73.98014437,469,Broadway & W 53 St,40.76344058,-73.98268129,30708,Subscriber,1964,female
752,2/1/19 12:03 AM,2/1/19 12:16 AM,327,Vesey Pl & River Terrace,40.7153379,-74.01658354,312,Allen St & Stanton St,40.722055,-73.989111,26835,Subscriber,1992,male
1125,2/1/19 12:04 AM,2/1/19 12:22 AM,3243,E 58 St & 1 Ave,40.75892386,-73.96226227,3170,W 84 St & Columbus Ave,40.78499979,-73.97283406,34662,Subscriber,1985,male
1271,2/1/19 12:04 AM,2/1/19 12:26 AM,362,Broadway & W 37 St,40.75172632,-73.98753523,478,11 Ave & W 41 St,40.76030096,-73.99884222,28893,Subscriber,1966,male
469,2/1/19 12:05 AM,2/1/19 12:13 AM,490,8 Ave & W 33 St,40.751551,-73.993934,508,W 46 St & 11 Ave,40.76341379,-73.99667444,33856,Subscriber,1968,male
156,2/1/19 12:05 AM,2/1/19 12:07 AM,3107,Bedford Ave & Nassau Ave,40.72311651,-73.95212324,3096,Union Ave & N 12 St,40.71924,-73.95242,35009,Subscriber,1992,male
342,2/1/19 12:05 AM,2/1/19 12:11 AM,3263,Cooper Square & Astor Pl,40.72951496,-73.9907527,394,E 9 St & Avenue C,40.72521311,-73.97768752,26739,Subscriber,1986,male
412,2/1/19 12:05 AM,2/1/19 12:12 AM,336,Sullivan St & Washington Sq,40.73047747,-73.99906065,326,E 11 St & 1 Ave,40.72953837,-73.98426726,32911,Subscriber,1991,male
1007,2/1/19 12:05 AM,2/1/19 12:22 AM,515,W 43 St & 10 Ave,40.76009437,-73.99461843,325,E 19 St & 3 Ave,40.73624527,-73.98473765,35673,Customer,1994,male
744,2/1/19 12:05 AM,2/1/19 12:18 AM,3170,W 84 St & Columbus Ave,40.78499979,-73.97283406,3400,E 110 St & Madison Ave,40.7961535,-73.94782145,34673,Subscriber,1994,male
772,2/1/19 12:06 AM,2/1/19 12:19 AM,3341,Central Park West & W 102 St,40.795346,-73.96186,3547,Broadway & Moylan Pl,40.8143256,-73.9590255,34652,Subscriber,1984,male
528,2/1/19 12:06 AM,2/1/19 12:15 AM,391,Clark St & Henry St,40.69760127,-73.99344559,3342,Pioneer St & Richards St,40.6777748,-74.0094613,35805,Subscriber,1993,male
848,2/1/19 12:06 AM,2/1/19 12:20 AM,3660,W 16 St & 8 Ave,40.74102151,-74.00138497,487,E 20 St & FDR Drive,40.73314259,-73.97573881,17462,Subscriber,1997,male
211,2/1/19 12:06 AM,2/1/19 12:10 AM,439,E 4 St & 2 Ave,40.7262807,-73.98978041,301,E 2 St & Avenue B,40.72217444,-73.98368779,17522,Subscriber,1980,male
309,2/1/19 12:06 AM,2/1/19 12:11 AM,507,E 25 St & 2 Ave,40.73912601,-73.97973776,491,E 24 St & Park Ave S,40.74096374,-73.98602213,35269,Subscriber,1977,female
235,2/1/19 12:06 AM,2/1/19 12:10 AM,127,Barrow St & Hudson St,40.73172428,-74.00674436,238,Bank St & Washington St,40.7361967,-74.00859207,34376,Subscriber,1963,male
523,2/1/19 12:06 AM,2/1/19 12:15 AM,484,W 44 St & 5 Ave,40.75500254,-73.98014437,478,11 Ave & W 41 St,40.76030096,-73.99884222,31659,Subscriber,1987,male
284,2/1/19 12:06 AM,2/1/19 12:11 AM,270,Adelphi St & Myrtle Ave,40.69308257,-73.97178913,3049,Cambridge Pl & Gates Ave,40.68488,-73.96304,35755,Subscriber,1991,male
934,2/1/19 12:08 AM,2/1/19 12:24 AM,257,Lispenard St & Broadway,40.71939226,-74.00247214,379,W 31 St & 7 Ave,40.749156,-73.9916,33989,Subscriber,1980,male
340,2/1/19 12:08 AM,2/1/19 12:14 AM,143,Clinton St & Joralemon St,40.69239502,-73.99337909,3315,Henry St & Degraw St,40.6847514,-73.99917254,29747,Subscriber,1988,male
188,2/1/19 12:08 AM,2/1/19 12:11 AM,3112,Milton St & Franklin St,40.72906,-73.95779,3110,Meserole Ave & Manhattan Ave,40.72708584,-73.95299117,16880,Subscriber,1973,male
887,2/1/19 12:09 AM,2/1/19 12:24 AM,3258,W 27 St & 10 Ave,40.75018156,-74.00218427,518,E 39 St & 2 Ave,40.74780373,-73.9734419,26674,Subscriber,1991,male
186,2/1/19 12:10 AM,2/1/19 12:13 AM,3159,W 67 St & Broadway,40.77492513,-73.98266566,3167,Amsterdam Ave & W 73 St,40.77966809,-73.98093045,29924,Subscriber,1970,male
266,2/1/19 12:10 AM,2/1/19 12:15 AM,335,Washington Pl & Broadway,40.72903917,-73.99404649,368,Carmine St & 6 Ave,40.73038599,-74.00214988,26861,Subscriber,1999,male
