tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
273,11/1/2019 0:00,11/1/2019 0:04,237,E 11 St & 2 Ave,40.73047309,-73.98672378,335,Washington Pl & Broadway,40.72903917,-73.99404649,16773,Subscriber,1989,male
159,11/1/2019 0:00,11/1/2019 0:02,3572,34 Ave & 38 St,40.756913,-73.921631,3568,34 St & 35 Ave,40.7569332,-73.9262231,26411,Subscriber,1980,female
967,11/1/2019 0:00,11/1/2019 0:16,334,W 20 St & 7 Ave,40.74238787,-73.99726235,529,W 42 St & 8 Ave,40.7575699,-73.99098507,35155,Subscriber,1994,female
604,11/1/2019 0:00,11/1/2019 0:10,280,E 10 St & 5 Ave,40.73331967,-73.99510132,445,E 10 St & Avenue A,40.72740794,-73.98142006,19864,Subscriber,1976,female
153,11/1/2019 0:00,11/1/2019 0:02,3761,Cedar St & Myrtle Ave,40.697842,-73.926241,3846,Central Ave & Himrod St,40.69676,-73.92302,40156,Subscriber,1994,male
869,11/1/2019 0:00,11/1/2019 0:14,174,E 25 St & 1 Ave,40.7381765,-73.97738662,3733,Avenue C & E 18 St,40.730563,-73.973984,18524,Subscriber,1968,male
1039,11/1/2019 0:00,11/1/2019 0:17,3318,2 Ave & E 96 St,40.7839636,-73.9471673,3299,E 98 St & Park Ave,40.78813,-73.95206,15920,Subscriber,1978,female
549,11/1/2019 0:00,11/1/2019 0:10,274,Lafayette Ave & Fort Greene Pl,40.68691865,-73.976682,3346,Berkeley Pl & 7 Ave,40.67514684,-73.97523209,32691,Subscriber,1986,male
959,11/1/2019 0:01,11/1/2019 0:17,540,Lexington Ave & E 29 St,40.74311555,-73.98215353,308,St James Pl & Oliver St,40.71307916,-73.99851193,38473,Subscriber,1987,male
209,11/1/2019 0:01,11/1/2019 0:04,3580,St Johns Pl & Washington Ave,40.6737236,-73.9631611,3584,Eastern Pkwy & Franklin Ave,40.6707767,-73.9576801,26481,Subscriber,1959,male
131,11/1/2019 0:01,11/1/2019 0:03,3686,Gansevoort St & Hudson St,40.7394482,-74.00507033,284,Greenwich Ave & 8 Ave,40.73901691,-74.00263761,31096,Subscriber,1991,male
550,11/1/2019 0:01,11/1/2019 0:10,3094,Graham Ave & Withers St,40.7169811,-73.94485918,3758,George St & Wilson Ave,40.702997,-73.92997,40097,Subscriber,1900,unknown
3507,11/1/2019 0:01,11/1/2019 0:59,3768,Waterbury St & Stagg St,40.71019,-73.93734,3768,Waterbury St & Stagg St,40.71019,-73.93734,30276,Customer,1969,unknown
245,11/1/2019 0:01,11/1/2019 0:05,3708,W 13 St & 5 Ave,40.735445,-73.99431,336,Sullivan St & Washington Sq,40.73047747,-73.99906065,34390,Subscriber,1994,male
252,11/1/2019 0:01,11/1/2019 0:05,3419,Douglass St & 4 Ave,40.6792788,-73.98154004,3364,Carroll St & 5 Ave,40.6751622,-73.9814832,41725,Subscriber,1983,male
383,11/1/2019 0:01,11/1/2019 0:07,504,1 Ave & E 16 St,40.73221853,-73.98165557,476,E 31 St & 3 Ave,40.74394314,-73.97966069,30720,Subscriber,1995,male
450,11/1/2019 0:01,11/1/2019 0:09,2003,1 Ave & E 18 St,40.73381219,-73.98054421,265,Stanton St & Chrystie St,40.72229346,-73.99147535,18872,Subscriber,1989,male
424,11/1/2019 0:01,11/1/2019 0:08,3093,N 6 St & Bedford Ave,40.71745169,-73.95850939,3469,India St & West St,40.73181402,-73.95995021,25745,Subscriber,1990,male
696,11/1/2019 0:01,11/1/2019 0:13,313,Washington Ave & Park Ave,40.69610226,-73.96751037,3055,Greene Ave & Nostrand Ave,40.6883337,-73.950916,26512,Subscriber,1996,male
891,11/1/2019 0:02,11/1/2019 0:17,3082,Hope St & Union Ave,40.71167351,-73.95141312,531,Forsyth St & Broome St,40.71893904,-73.99266288,40488,Subscriber,1985,male
354,11/1/2019 0:02,11/1/2019 0:08,416,Cumberland St & Lafayette Ave,40.68753406,-73.97265183,3637,Fulton St & Waverly Ave,40.68323865,-73.96599591,21125,Subscriber,1977,male
767,11/1/2019 0:02,11/1/2019 0:15,464,E 56 St & 3 Ave,40.75934501,-73.96759673,529,W 42 St & 8 Ave,40.7575699,-73.99098507,26985,Customer,2000,male
456,11/1/2019 0:02,11/1/2019 0:10,128,MacDougal St & Prince St,40.72710258,-74.00297088,265,Stanton St & Chrystie St,40.72229346,-73.99147535,31899,Subscriber,1993,male
418,11/1/2019 0:02,11/1/2019 0:09,3420,Douglass St & 3 Ave,40.6802133,-73.98432695,3399,7 St & 3 Ave,40.67260298,-73.98983002,33011,Subscriber,1992,male
499,11/1/2019 0:02,11/1/2019 0:11,489,10 Ave & W 28 St,40.75066386,-74.00176802,3699,W 50 St & 9 Ave,40.76360468,-73.98917958,28418,Subscriber,1989,male
877,11/1/2019 0:03,11/1/2019 0:17,489,10 Ave & W 28 St,40.75066386,-74.00176802,497,E 17 St & Broadway,40.73704984,-73.99009296,32791,Customer,1989,male
243,11/1/2019 0:03,11/1/2019 0:07,539,Metropolitan Ave & Bedford Ave,40.71534825,-73.96024116,3078,Broadway & Roebling St,40.70924826,-73.96063149,34414,Subscriber,1999,female
195,11/1/2019 0:03,11/1/2019 0:06,401,Allen St & Rivington St,40.72019576,-73.98997825,307,Canal St & Rutgers St,40.71427487,-73.98990025,28900,Subscriber,1991,male
353,11/1/2019 0:03,11/1/2019 0:09,257,Lispenard St & Broadway,40.71939226,-74.00247214,296,Division St & Bowery,40.71413089,-73.9970468,41014,Subscriber,1992,male
390,11/1/2019 0:03,11/1/2019 0:09,447,8 Ave & W 52 St,40.76370739,-73.9851615,529,W 42 St & 8 Ave,40.7575699,-73.99098507,38956,Subscriber,1991,male
