tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
320,1/1/19 12:01 AM,1/1/19 12:07 AM,3160,Central Park West & W 76 St,40.77896784,-73.97374737,3283,W 89 St & Columbus Ave,40.7882213,-73.97041561,15839,Subscriber,1971,male
316,1/1/19 12:04 AM,1/1/19 12:10 AM,519,Pershing Square North,40.751873,-73.977706,518,E 39 St & 2 Ave,40.74780373,-73.9734419,32723,Subscriber,1964,male
591,1/1/19 12:06 AM,1/1/19 12:15 AM,3171,Amsterdam Ave & W 82 St,40.78524672,-73.97667321,3154,E 77 St & 3 Ave,40.77314236,-73.95856158,27451,Subscriber,1987,male
2719,1/1/19 12:07 AM,1/1/19 12:52 AM,504,1 Ave & E 16 St,40.73221853,-73.98165557,3709,W 15 St & 6 Ave,40.73804614,-73.99642959,21579,Subscriber,1990,male
303,1/1/19 12:07 AM,1/1/19 12:12 AM,229,Great Jones St,40.72743423,-73.99379025,503,E 20 St & Park Ave,40.73827428,-73.98751968,35379,Subscriber,1979,male
535,1/1/19 12:08 AM,1/1/19 12:17 AM,3630,Frederick Douglass Blvd & W 115 St,40.8038654,-73.9559308,3529,Lenox Ave & W 130 St,40.8107922,-73.9430681,30315,Subscriber,1989,female
280,1/1/19 12:09 AM,1/1/19 12:14 AM,3675,3 Ave & E 95 St,40.7845968,-73.94968539,3288,E 88 St & 1 Ave,40.778301,-73.9488134,35391,Subscriber,1987,male
1547,1/1/19 12:11 AM,1/1/19 12:37 AM,285,Broadway & E 14 St,40.73454567,-73.99074142,3358,Garfield Pl & 8 Ave,40.6711978,-73.97484126,35551,Subscriber,1981,male
300,1/1/19 12:12 AM,1/1/19 12:17 AM,3394,Columbia St & W 9 St,40.6769993,-74.00647134,3398,Smith St & 9 St,40.6746957,-73.99785768,18636,Subscriber,1990,female
123,1/1/19 12:12 AM,1/1/19 12:14 AM,432,E 7 St & Avenue A,40.72621788,-73.98379855,3656,E 2 St & Avenue A,40.72307749,-73.98583621,35206,Subscriber,1987,male
932,1/1/19 12:14 AM,1/1/19 12:29 AM,379,W 31 St & 7 Ave,40.749156,-73.9916,336,Sullivan St & Washington Sq,40.73047747,-73.99906065,35148,Subscriber,1986,male
209,1/1/19 12:15 AM,1/1/19 12:18 AM,438,St Marks Pl & 1 Ave,40.72779126,-73.98564945,301,E 2 St & Avenue B,40.72217444,-73.98368779,34416,Subscriber,1998,female
976,1/1/19 12:15 AM,1/1/19 12:31 AM,3452,Bayard St & Leonard St,40.71915572,-73.94885391,251,Mott St & Prince St,40.72317958,-73.99480012,35685,Subscriber,1994,male
97,1/1/19 12:15 AM,1/1/19 12:17 AM,3430,Richardson St & N Henry St,40.71907891,-73.9422369,3095,Graham Ave & Herbert St,40.71929301,-73.94500379,34307,Subscriber,1988,male
467,1/1/19 12:16 AM,1/1/19 12:24 AM,507,E 25 St & 2 Ave,40.73912601,-73.97973776,492,W 33 St & 7 Ave,40.75019995,-73.99093085,35561,Subscriber,1989,male
348,1/1/19 12:17 AM,1/1/19 12:23 AM,3095,Graham Ave & Herbert St,40.71929301,-73.94500379,3101,N 12 St & Bedford Ave,40.72079821,-73.95484712,35695,Subscriber,1988,male
505,1/1/19 12:18 AM,1/1/19 12:27 AM,3132,E 59 St & Madison Ave,40.76350532,-73.97109243,359,E 47 St & Park Ave,40.75510267,-73.97498696,31801,Subscriber,1981,male
3494,1/1/19 12:18 AM,1/1/19 1:17 AM,3171,Amsterdam Ave & W 82 St,40.78524672,-73.97667321,3164,Columbus Ave & W 72 St,40.7770575,-73.97898475,35785,Subscriber,1954,male
829,1/1/19 12:19 AM,1/1/19 12:32 AM,3165,Central Park West & W 72 St,40.77579377,-73.97620574,3295,Central Park W & W 96 St,40.79127,-73.964839,32106,Subscriber,1969,unknown
451,1/1/19 12:21 AM,1/1/19 12:28 AM,403,E 2 St & 2 Ave,40.72502876,-73.99069656,545,E 23 St & 1 Ave,40.736502,-73.97809472,32038,Subscriber,1985,male
736,1/1/19 12:21 AM,1/1/19 12:33 AM,3165,Central Park West & W 72 St,40.77579377,-73.97620574,3295,Central Park W & W 96 St,40.79127,-73.964839,16761,Customer,1989,female
617,1/1/19 12:21 AM,1/1/19 12:31 AM,3159,W 67 St & Broadway,40.77492513,-73.98266566,3142,1 Ave & E 62 St,40.7612274,-73.96094022,24895,Subscriber,1998,male
537,1/1/19 12:21 AM,1/1/19 12:30 AM,3231,E 67 St & Park Ave,40.7678008,-73.96592081,519,Pershing Square North,40.751873,-73.977706,30089,Subscriber,1996,male
377,1/1/19 12:23 AM,1/1/19 12:29 AM,435,W 21 St & 6 Ave,40.74173969,-73.99415556,509,9 Ave & W 22 St,40.7454973,-74.00197139,32313,Subscriber,1968,female
643,1/1/19 12:24 AM,1/1/19 12:34 AM,484,W 44 St & 5 Ave,40.75500254,-73.98014437,484,W 44 St & 5 Ave,40.75500254,-73.98014437,34089,Subscriber,1975,male
199,1/1/19 12:24 AM,1/1/19 12:28 AM,3302,Columbus Ave & W 103 St,40.7969347,-73.96434123,3630,Frederick Douglass Blvd & W 115 St,40.8038654,-73.9559308,35775,Subscriber,1989,male
414,1/1/19 12:24 AM,1/1/19 12:31 AM,3321,Clinton St & Union St,40.6831164,-73.99785267,157,Henry St & Atlantic Ave,40.69089272,-73.99612349,34381,Subscriber,1975,female
1145,1/1/19 12:25 AM,1/1/19 12:44 AM,3163,Central Park West & W 68 St,40.7734066,-73.97782542,490,8 Ave & W 33 St,40.751551,-73.993934,24945,Customer,1969,unknown
1068,1/1/19 12:25 AM,1/1/19 12:43 AM,394,E 9 St & Avenue C,40.72521311,-73.97768752,3431,E 35 St & 3 Ave,40.746524,-73.977885,32042,Subscriber,1996,male
357,1/1/19 12:25 AM,1/1/19 12:31 AM,3170,W 84 St & Columbus Ave,40.78499979,-73.97283406,3167,Amsterdam Ave & W 73 St,40.77966809,-73.98093045,33859,Subscriber,1979,female
1102,1/1/19 12:25 AM,1/1/19 12:44 AM,3163,Central Park West & W 68 St,40.7734066,-73.97782542,490,8 Ave & W 33 St,40.751551,-73.993934,29389,Customer,1969,unknown
1097,1/1/19 12:25 AM,1/1/19 12:44 AM,3163,Central Park West & W 68 St,40.7734066,-73.97782542,490,8 Ave & W 33 St,40.751551,-73.993934,33607,Customer,1969,unknown
607,1/1/19 12:26 AM,1/1/19 12:36 AM,285,Broadway & E 14 St,40.73454567,-73.99074142,301,E 2 St & Avenue B,40.72217444,-73.98368779,33456,Subscriber,1999,male
133,1/1/19 12:26 AM,1/1/19 12:28 AM,3656,E 2 St & Avenue A,40.72307749,-73.98583621,432,E 7 St & Avenue A,40.72621788,-73.98379855,34266,Subscriber,1987,male
1222,1/1/19 12:26 AM,1/1/19 12:47 AM,3304,6 Ave & 9 St,40.668127,-73.98377641,396,Lefferts Pl & Franklin Ave,40.68034242,-73.95576894,30705,Subscriber,1969,female
1030,1/1/19 12:27 AM,1/1/19 12:44 AM,3163,Central Park West & W 68 St,40.7734066,-73.97782542,490,8 Ave & W 33 St,40.751551,-73.993934,29712,Customer,1969,unknown
813,1/1/19 12:27 AM,1/1/19 12:40 AM,3165,Central Park West & W 72 St,40.77579377,-73.97620574,450,W 49 St & 8 Ave,40.76227205,-73.98788205,32899,Subscriber,1970,male
3491,1/1/19 12:27 AM,1/1/19 1:25 AM,3574,Prospect Pl & Underhill Ave,40.6769694,-73.96579,432,E 7 St & Avenue A,40.72621788,-73.98379855,32404,Subscriber,1994,male
788,1/1/19 12:27 AM,1/1/19 12:40 AM,534,Water - Whitehall Plaza,40.70255065,-74.0127234,327,Vesey Pl & River Terrace,40.7153379,-74.01658354,28961,Customer,1984,female
787,1/1/19 12:27 AM,1/1/19 12:40 AM,534,Water - Whitehall Plaza,40.70255065,-74.0127234,327,Vesey Pl & River Terrace,40.7153379,-74.01658354,16825,Customer,1971,male
369,1/1/19 12:28 AM,1/1/19 12:34 AM,3367,5 Ave & E 103 St,40.7922553,-73.95249933,3492,E 118 St & Park Ave,40.8005385,-73.9419949,27026,Subscriber,1999,male
716,1/1/19 12:28 AM,1/1/19 12:40 AM,3165,Central Park West & W 72 St,40.77579377,-73.97620574,450,W 49 St & 8 Ave,40.76227205,-73.98788205,28774,Subscriber,1972,female
476,1/1/19 12:28 AM,1/1/19 12:36 AM,307,Canal St & Rutgers St,40.71427487,-73.98990025,3467,W Broadway & Spring Street,40.72494672,-74.00165856,24932,Subscriber,1990,male
904,1/1/19 12:29 AM,1/1/19 12:44 AM,3235,E 41 St & Madison Ave,40.75216528,-73.97992194,297,E 15 St & 3 Ave,40.734232,-73.986923,28407,Subscriber,1986,female
375,1/1/19 12:29 AM,1/1/19 12:35 AM,168,W 18 St & 6 Ave,40.73971301,-73.99456405,504,1 Ave & E 16 St,40.73221853,-73.98165557,28429,Subscriber,1995,male
795,1/1/19 12:29 AM,1/1/19 12:42 AM,328,Watts St & Greenwich St,40.72405549,-74.00965965,361,Allen St & Hester St,40.71605866,-73.99190759,32962,Subscriber,1972,male
541,1/1/19 12:29 AM,1/1/19 12:38 AM,223,W 13 St & 7 Ave,40.73781509,-73.99994661,432,E 7 St & Avenue A,40.72621788,-73.98379855,30106,Subscriber,1982,male
1265,1/1/19 12:29 AM,1/1/19 12:50 AM,3585,Union St & Bedford Ave,40.6691783,-73.9554162,3110,Meserole Ave & Manhattan Ave,40.72708584,-73.95299117,35621,Subscriber,1993,male
1408,1/1/19 12:31 AM,1/1/19 12:54 AM,79,Franklin St & W Broadway,40.71911552,-74.00666661,2021,W 45 St & 8 Ave,40.75929124,-73.98859651,30597,Subscriber,1994,male
711,1/1/19 12:31 AM,1/1/19 12:43 AM,346,Bank St & Hudson St,40.73652889,-74.00618026,529,W 42 St & 8 Ave,40.7575699,-73.99098507,29078,Subscriber,1980,male
216,1/1/19 12:31 AM,1/1/19 12:35 AM,3453,Devoe St & Lorimer St,40.71335226,-73.94910336,3085,Roebling St & N 4 St,40.71469,-73.95739,34991,Subscriber,1992,male
2512,1/1/19 12:32 AM,1/1/19 1:14 AM,3108,Nassau Ave & Russell St,40.72557,-73.94434,391,Clark St & Henry St,40.69760127,-73.99344559,35059,Subscriber,1985,female
524,1/1/19 12:32 AM,1/1/19 12:40 AM,3467,W Broadway & Spring Street,40.72494672,-74.00165856,127,Barrow St & Hudson St,40.73172428,-74.00674436,34778,Subscriber,1963,female
220,1/1/19 12:34 AM,1/1/19 12:37 AM,316,Fulton St & William St,40.70955958,-74.00653609,195,Liberty St & Broadway,40.70905623,-74.01043382,20120,Subscriber,1980,male
284,1/1/19 12:34 AM,1/1/19 12:39 AM,476,E 31 St & 3 Ave,40.74394314,-73.97966069,536,1 Ave & E 30 St,40.74144387,-73.97536082,17408,Subscriber,1972,female
292,1/1/19 12:34 AM,1/1/19 12:39 AM,265,Stanton St & Chrystie St,40.72229346,-73.99147535,326,E 11 St & 1 Ave,40.72953837,-73.98426726,29149,Subscriber,1991,male
837,1/1/19 12:35 AM,1/1/19 12:48 AM,3115,India St & Manhattan Ave,40.73232194,-73.9550858,3067,Broadway & Whipple St,40.7016657,-73.9437303,21528,Subscriber,1989,male
837,1/1/19 12:35 AM,1/1/19 12:49 AM,458,11 Ave & W 27 St,40.751396,-74.005226,334,W 20 St & 7 Ave,40.74238787,-73.99726235,29066,Subscriber,1960,male
187,1/1/19 12:35 AM,1/1/19 12:38 AM,484,W 44 St & 5 Ave,40.75500254,-73.98014437,524,W 43 St & 6 Ave,40.75527307,-73.98316936,34089,Subscriber,1975,male
591,1/1/19 12:35 AM,1/1/19 12:45 AM,3175,W 70 St & Amsterdam Ave,40.77748046,-73.98288594,3350,W 100 St & Broadway,40.7973721,-73.97041192,35750,Subscriber,1985,male
700,1/1/19 12:37 AM,1/1/19 12:49 AM,259,South St & Whitehall St,40.70122128,-74.01234218,340,Madison St & Clinton St,40.71269042,-73.98776323,34720,Subscriber,1979,male
