tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
88,4/1/2019 0:00,4/1/2019 0:01,2006,Central Park S & 6 Ave,40.76590936,-73.97634151,2006,Central Park S & 6 Ave,40.76590936,-73.97634151,36515,Subscriber,1982,male
443,4/1/2019 0:00,4/1/2019 0:07,254,W 11 St & 6 Ave,40.73532427,-73.99800419,540,Lexington Ave & E 29 St,40.74311555,-73.98215353,17406,Subscriber,1983,male
662,4/1/2019 0:00,4/1/2019 0:11,3244,University Pl & E 8 St,40.73143724,-73.99490342,3244,University Pl & E 8 St,40.73143724,-73.99490342,20775,Subscriber,1988,male
86,4/1/2019 0:00,4/1/2019 0:01,526,E 33 St & 5 Ave,40.74765947,-73.98490707,474,5 Ave & E 29 St,40.7451677,-73.98683077,36270,Subscriber,1982,male
136,4/1/2019 0:00,4/1/2019 0:02,461,E 20 St & 2 Ave,40.73587678,-73.98205027,504,1 Ave & E 16 St,40.73221853,-73.98165557,36051,Subscriber,1986,male
1116,4/1/2019 0:00,4/1/2019 0:19,3295,Central Park W & W 96 St,40.79127,-73.964839,3367,5 Ave & E 103 St,40.7922553,-73.95249933,35612,Subscriber,1999,male
143,4/1/2019 0:01,4/1/2019 0:03,3141,1 Ave & E 68 St,40.76500525,-73.95818491,3372,E 74 St & 1 Ave,40.7689738,-73.95482273,27759,Subscriber,1963,female
790,4/1/2019 0:01,4/1/2019 0:14,477,W 41 St & 8 Ave,40.75640548,-73.9900262,461,E 20 St & 2 Ave,40.73587678,-73.98205027,35711,Subscriber,1992,male
189,4/1/2019 0:01,4/1/2019 0:04,3521,Lenox Ave & W 111 St,40.7987859,-73.9523,3553,Frederick Douglass Blvd & W 112 St,40.801694,-73.957145,15023,Subscriber,1987,male
566,4/1/2019 0:01,4/1/2019 0:10,344,Monroe St & Bedford Ave,40.6851443,-73.95380904,3058,Lewis Ave & Kosciuszko St,40.69237074,-73.93705428,25716,Subscriber,1986,male
594,4/1/2019 0:01,4/1/2019 0:11,435,W 21 St & 6 Ave,40.74173969,-73.99415556,173,Broadway & W 49 St,40.76068327,-73.98452729,17106,Customer,1969,unknown
738,4/1/2019 0:01,4/1/2019 0:14,477,W 41 St & 8 Ave,40.75640548,-73.9900262,3223,E 55 St & 3 Ave,40.75899656,-73.96865398,36229,Subscriber,1965,male
195,4/1/2019 0:01,4/1/2019 0:05,317,E 6 St & Avenue B,40.72453734,-73.98185424,3711,E 13 St & Avenue A,40.72966729,-73.98067966,35223,Subscriber,1966,male
391,4/1/2019 0:01,4/1/2019 0:08,3718,E 11 St & Avenue B,40.72746421,-73.97950418,3708,W 13 St & 5 Ave,40.735445,-73.99431,20693,Customer,1988,male
178,4/1/2019 0:02,4/1/2019 0:05,280,E 10 St & 5 Ave,40.73331967,-73.99510132,357,E 11 St & Broadway,40.73261787,-73.99158043,28084,Subscriber,1963,female
2113,4/1/2019 0:02,4/1/2019 0:37,391,Clark St & Henry St,40.69760127,-73.99344559,391,Clark St & Henry St,40.69760127,-73.99344559,35707,Subscriber,1969,unknown
359,4/1/2019 0:02,4/1/2019 0:08,3707,Lexington Ave & E 26 St,40.741459,-73.983293,379,W 31 St & 7 Ave,40.749156,-73.9916,32032,Subscriber,1990,male
224,4/1/2019 0:03,4/1/2019 0:06,3263,Cooper Square & Astor Pl,40.72951496,-73.9907527,252,MacDougal St & Washington Sq,40.73226398,-73.99852205,30692,Subscriber,1996,male
180,4/1/2019 0:03,4/1/2019 0:06,3526,31 St & 23 Ave,40.7747878,-73.9125551,3522,37 St & 24 Ave,40.7701477,-73.9120938,16319,Subscriber,1979,male
460,4/1/2019 0:03,4/1/2019 0:11,546,E 30 St & Park Ave S,40.74444921,-73.98303529,380,W 4 St & 7 Ave S,40.73401143,-74.00293877,35720,Subscriber,1978,male
341,4/1/2019 0:03,4/1/2019 0:09,3107,Bedford Ave & Nassau Ave,40.72311651,-73.95212324,3430,Richardson St & N Henry St,40.71907891,-73.9422369,34200,Subscriber,1990,unknown
214,4/1/2019 0:03,4/1/2019 0:07,128,MacDougal St & Prince St,40.72710258,-74.00297088,336,Sullivan St & Washington Sq,40.73047747,-73.99906065,35008,Subscriber,1999,male
