tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
393,8/1/2019 0:00,8/1/2019 0:06,531,Forsyth St & Broome St,40.71893904,-73.99266288,408,Market St & Cherry St,40.71076228,-73.99400398,35305,Subscriber,1996,female
627,8/1/2019 0:00,8/1/2019 0:10,274,Lafayette Ave & Fort Greene Pl,40.68691865,-73.976682,3409,Bergen St & Smith St,40.6867443,-73.99063168,38822,Subscriber,1998,female
1132,8/1/2019 0:00,8/1/2019 0:18,2000,Front St & Washington St,40.70255088,-73.98940236,3388,President St & Henry St,40.6828003,-73.99990419,18373,Subscriber,1988,male
1780,8/1/2019 0:00,8/1/2019 0:29,479,9 Ave & W 45 St,40.76019252,-73.9912551,473,Rivington St & Chrystie St,40.72110063,-73.9919254,25002,Subscriber,1988,male
1517,8/1/2019 0:00,8/1/2019 0:25,3312,1 Ave & E 94 St,40.7817212,-73.94594,3312,1 Ave & E 94 St,40.7817212,-73.94594,31198,Subscriber,1965,female
632,8/1/2019 0:00,8/1/2019 0:10,173,Broadway & W 49 St,40.76068327,-73.98452729,3707,Lexington Ave & E 26 St,40.741459,-73.983293,21628,Subscriber,1998,male
117,8/1/2019 0:00,8/1/2019 0:02,3718,E 11 St & Avenue B,40.72746421,-73.97950418,326,E 11 St & 1 Ave,40.72953837,-73.98426726,25914,Subscriber,1995,male
378,8/1/2019 0:00,8/1/2019 0:06,493,W 45 St & 6 Ave,40.7568001,-73.98291153,3724,7 Ave & Central Park South,40.76674056,-73.97906899,34414,Subscriber,1999,male
1102,8/1/2019 0:00,8/1/2019 0:18,355,Bayard St & Baxter St,40.71602118,-73.99974372,3232,Bond St & Fulton St,40.68962189,-73.98304269,28226,Subscriber,1992,male
1733,8/1/2019 0:00,8/1/2019 0:29,513,W 56 St & 10 Ave,40.768254,-73.988639,469,Broadway & W 53 St,40.76344058,-73.98268129,33448,Customer,1968,male
885,8/1/2019 0:00,8/1/2019 0:15,532,S 5 Pl & S 5 St,40.710451,-73.960876,317,E 6 St & Avenue B,40.72453734,-73.98185424,38334,Subscriber,1988,female
505,8/1/2019 0:00,8/1/2019 0:08,497,E 17 St & Broadway,40.73704984,-73.99009296,432,E 7 St & Avenue A,40.72621788,-73.98379855,28529,Subscriber,1973,male
620,8/1/2019 0:00,8/1/2019 0:10,3779,Hart St & Wyckoff Ave,40.704876,-73.919911,3074,Montrose Ave & Bushwick Ave,40.70767788,-73.94016171,19913,Subscriber,1990,male
308,8/1/2019 0:00,8/1/2019 0:05,3137,5 Ave & E 73 St,40.77282817,-73.96685276,3372,E 74 St & 1 Ave,40.7689738,-73.95482273,29018,Subscriber,1965,female
645,8/1/2019 0:00,8/1/2019 0:11,251,Mott St & Prince St,40.72317958,-73.99480012,223,W 13 St & 7 Ave,40.73781509,-73.99994661,28162,Subscriber,1983,male
510,8/1/2019 0:00,8/1/2019 0:09,447,8 Ave & W 52 St,40.76370739,-73.9851615,3712,W 35 St & Dyer Ave,40.75469175,-73.99740189,25623,Subscriber,1976,male
1758,8/1/2019 0:00,8/1/2019 0:30,259,South St & Whitehall St,40.70122128,-74.01234218,285,Broadway & E 14 St,40.73454567,-73.99074142,25552,Customer,1993,male
1692,8/1/2019 0:00,8/1/2019 0:29,514,12 Ave & W 40 St,40.76087502,-74.00277668,422,W 59 St & 10 Ave,40.770513,-73.988038,26808,Subscriber,1936,male
1332,8/1/2019 0:00,8/1/2019 0:23,529,W 42 St & 8 Ave,40.7575699,-73.99098507,3725,2 Ave & E 72 St,40.76876203,-73.95840794,31125,Subscriber,1969,male
1295,8/1/2019 0:01,8/1/2019 0:22,460,S 4 St & Wythe Ave,40.71285887,-73.96590294,307,Canal St & Rutgers St,40.71427487,-73.98990025,38691,Subscriber,1972,female
506,8/1/2019 0:01,8/1/2019 0:09,368,Carmine St & 6 Ave,40.73038599,-74.00214988,284,Greenwich Ave & 8 Ave,40.73901691,-74.00263761,26506,Subscriber,1989,male
85,8/1/2019 0:01,8/1/2019 0:02,3140,1 Ave & E 78 St,40.77140426,-73.9535166,3370,E 78 St & 2 Ave,40.7727966,-73.95577801,33026,Subscriber,1979,male
440,8/1/2019 0:01,8/1/2019 0:08,531,Forsyth St & Broome St,40.71893904,-73.99266288,349,Rivington St & Ridge St,40.71850211,-73.98329859,20109,Customer,1969,unknown
1537,8/1/2019 0:01,8/1/2019 0:26,3774,Knickerbocker Ave & George St,40.704425,-73.92836,3429,Hanson Pl & Ashland Pl,40.68506807,-73.9779076,18872,Subscriber,1971,female
824,8/1/2019 0:01,8/1/2019 0:15,3296,E 93 St & 2 Ave,40.78245418,-73.94891962,3312,1 Ave & E 94 St,40.7817212,-73.94594,26108,Subscriber,1985,male
1538,8/1/2019 0:01,8/1/2019 0:26,3774,Knickerbocker Ave & George St,40.704425,-73.92836,3429,Hanson Pl & Ashland Pl,40.68506807,-73.9779076,15172,Customer,2000,male
500,8/1/2019 0:01,8/1/2019 0:09,368,Carmine St & 6 Ave,40.73038599,-74.00214988,284,Greenwich Ave & 8 Ave,40.73901691,-74.00263761,31960,Subscriber,1988,male
270,8/1/2019 0:01,8/1/2019 0:05,3423,West Drive & Prospect Park West,40.66106337,-73.97945255,3306,10 St & 7 Ave,40.6662078,-73.98199886,39058,Subscriber,1983,female
155,8/1/2019 0:01,8/1/2019 0:04,442,W 27 St & 7 Ave,40.746647,-73.993915,435,W 21 St & 6 Ave,40.74173969,-73.99415556,39906,Subscriber,1978,male
684,8/1/2019 0:01,8/1/2019 0:12,268,Howard St & Centre St,40.71910537,-73.99973337,332,Cherry St,40.71219906,-73.97948148,17784,Subscriber,1972,male
599,8/1/2019 0:01,8/1/2019 0:11,497,E 17 St & Broadway,40.73704984,-73.99009296,3443,W 52 St & 6 Ave,40.76132983,-73.97982001,27383,Subscriber,1996,male
660,8/1/2019 0:01,8/1/2019 0:12,508,W 46 St & 11 Ave,40.76341379,-73.99667444,492,W 33 St & 7 Ave,40.75019995,-73.99093085,39142,Subscriber,1994,male
249,8/1/2019 0:01,8/1/2019 0:05,3141,1 Ave & E 68 St,40.76500525,-73.95818491,3134,3 Ave & E 62 St,40.76312584,-73.96526895,27051,Subscriber,1981,male
288,8/1/2019 0:01,8/1/2019 0:06,3553,Frederick Douglass Blvd & W 112 St,40.801694,-73.957145,3400,E 110 St & Madison Ave,40.7961535,-73.94782145,18091,Subscriber,1996,male
593,8/1/2019 0:01,8/1/2019 0:11,3055,Greene Ave & Nostrand Ave,40.6883337,-73.950916,313,Washington Ave & Park Ave,40.69610226,-73.96751037,27820,Subscriber,1990,male
559,8/1/2019 0:01,8/1/2019 0:11,3136,5 Ave & E 63 St,40.766368,-73.971518,423,W 54 St & 9 Ave,40.76584941,-73.98690506,24835,Subscriber,1973,male
1118,8/1/2019 0:01,8/1/2019 0:20,3226,W 82 St & Central Park West,40.78275,-73.97137,454,E 51 St & 1 Ave,40.75455731,-73.96592976,34931,Subscriber,1979,male
649,8/1/2019 0:01,8/1/2019 0:12,237,E 11 St & 2 Ave,40.73047309,-73.98672378,410,Suffolk St & Stanton St,40.72066442,-73.98517977,30236,Subscriber,1972,female
360,8/1/2019 0:02,8/1/2019 0:08,380,W 4 St & 7 Ave S,40.73401143,-74.00293877,3788,E 12 St & 4 Av,40.73269,-73.98974,28293,Subscriber,1995,male
594,8/1/2019 0:02,8/1/2019 0:12,379,W 31 St & 7 Ave,40.749156,-73.9916,3236,W 42 St & Dyer Ave,40.75898481,-73.99379969,30930,Subscriber,1960,male
1401,8/1/2019 0:02,8/1/2019 0:25,3687,E 33 St & 1 Ave,40.74322681,-73.97449784,259,South St & Whitehall St,40.70122128,-74.01234218,39838,Subscriber,1963,male
303,8/1/2019 0:02,8/1/2019 0:07,493,W 45 St & 6 Ave,40.7568001,-73.98291153,359,E 47 St & Park Ave,40.75510267,-73.97498696,31114,Subscriber,1975,male
1152,8/1/2019 0:02,8/1/2019 0:21,479,9 Ave & W 45 St,40.76019252,-73.9912551,489,10 Ave & W 28 St,40.75066386,-74.00176802,39365,Subscriber,1988,male
828,8/1/2019 0:02,8/1/2019 0:16,285,Broadway & E 14 St,40.73454567,-73.99074142,3255,8 Ave & W 31 St,40.75058535,-73.99468482,20975,Subscriber,1983,male
254,8/1/2019 0:02,8/1/2019 0:06,3082,Hope St & Union Ave,40.71167351,-73.95141312,3094,Graham Ave & Withers St,40.7169811,-73.94485918,25815,Subscriber,1979,male
566,8/1/2019 0:02,8/1/2019 0:12,334,W 20 St & 7 Ave,40.74238787,-73.99726235,326,E 11 St & 1 Ave,40.72953837,-73.98426726,33316,Customer,1969,unknown
1901,8/1/2019 0:02,8/1/2019 0:34,116,W 17 St & 8 Ave,40.74177603,-74.00149746,3508,St Nicholas Ave & Manhattan Ave,40.809725,-73.953149,25816,Subscriber,1991,female
464,8/1/2019 0:02,8/1/2019 0:10,353,S Portland Ave & Hanson Pl,40.68539567,-73.97431458,3335,Union St & 4 Ave,40.6772744,-73.98282002,21050,Subscriber,1993,male
502,8/1/2019 0:02,8/1/2019 0:11,326,E 11 St & 1 Ave,40.72953837,-73.98426726,400,Pitt St & Stanton St,40.71926081,-73.98178024,30081,Subscriber,2001,male
673,8/1/2019 0:02,8/1/2019 0:13,3553,Frederick Douglass Blvd & W 112 St,40.801694,-73.957145,3495,E 114 St & 1 Ave,40.7945663,-73.9362541,19287,Customer,1995,female
380,8/1/2019 0:02,8/1/2019 0:09,3461,Murray St & Greenwich St,40.71485151,-74.01122332,363,West Thames St,40.70834698,-74.01713445,25764,Subscriber,1997,male
2586,8/1/2019 0:02,8/1/2019 0:45,127,Barrow St & Hudson St,40.73172428,-74.00674436,319,Fulton St & Broadway,40.711066,-74.009447,39011,Subscriber,1987,female
787,8/1/2019 0:02,8/1/2019 0:15,3749,Lexington Ave & E 36 St,40.74757396,-73.97880077,3712,W 35 St & Dyer Ave,40.75469175,-73.99740189,14590,Subscriber,1969,female
403,8/1/2019 0:02,8/1/2019 0:09,3711,E 13 St & Avenue A,40.72966729,-73.98067966,3737,Stanton St & Norfolk St,40.720747,-73.986274,31077,Subscriber,1977,male
105,8/1/2019 0:02,8/1/2019 0:04,436,Hancock St & Bedford Ave,40.68216564,-73.95399026,344,Monroe St & Bedford Ave,40.6851443,-73.95380904,35022,Subscriber,1989,unknown
538,8/1/2019 0:03,8/1/2019 0:12,295,Pike St & E Broadway,40.71406667,-73.99293911,264,Maiden Ln & Pearl St,40.70706456,-74.00731853,34108,Customer,1997,male
120,8/1/2019 0:03,8/1/2019 0:05,3360,Amsterdam Ave & W 79 St,40.7829391,-73.9786517,3171,Amsterdam Ave & W 82 St,40.78524672,-73.97667321,39311,Subscriber,1985,male
643,8/1/2019 0:03,8/1/2019 0:14,3734,E 58 St &  1 Ave (NW Corner),40.759125,-73.962658,3286,E 89 St & 3 Ave,40.7806284,-73.9521667,19132,Subscriber,1978,male
1389,8/1/2019 0:03,8/1/2019 0:26,415,Pearl St & Hanover Square,40.7047177,-74.00926027,331,Pike St & Monroe St,40.71173107,-73.99193043,32065,Customer,1996,male
371,8/1/2019 0:03,8/1/2019 0:09,3711,E 13 St & Avenue A,40.72966729,-73.98067966,3737,Stanton St & Norfolk St,40.720747,-73.986274,34262,Subscriber,1980,male
1662,8/1/2019 0:03,8/1/2019 0:31,415,Pearl St & Hanover Square,40.7047177,-74.00926027,264,Maiden Ln & Pearl St,40.70706456,-74.00731853,18066,Customer,1969,unknown
1051,8/1/2019 0:03,8/1/2019 0:20,460,S 4 St & Wythe Ave,40.71285887,-73.96590294,350,Clinton St & Grand St,40.71559509,-73.9870295,20182,Customer,1969,unknown
1382,8/1/2019 0:03,8/1/2019 0:26,415,Pearl St & Hanover Square,40.7047177,-74.00926027,331,Pike St & Monroe St,40.71173107,-73.99193043,30891,Subscriber,1996,male
